L,N,Q,absorption_coefficient,amplitude,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,epsrel,force_type,fx,fy,fz,medium_refractive_index,phase,radius,reference_function,refractive_index,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber
0.0005,15,7658000.0,0,1,0,0,-0.000125,0,0.1,total,,,-1.1131369413494109e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.000125,0,0.1,total,,,1.0590540089612861e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.000125,0,0.1,incident,,,1.1547186952313532e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.000125,0,0.1,incident,,,9.169349308670775e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.000125,0,0.1,reflection,,,-6.360854594654629e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.000125,0,0.1,reflection,,,-2.4975478918529495e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.000125,0,0.1,transmission,,,-1.0997770352709e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.000125,0,0.1,transmission,,,-5.612693903271841e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.0001875,0,0.1,total,,,-1.3506696772314269e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6.25e-05,0,0.1,total,,,1.408886835619563e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,6.25e-05,0,0.1,total,,,1.123246119508917e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.0001875,0,0.1,total,,,3.114123343156144e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.0001875,0,0.1,incident,,,4.4354299087452626e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6.25e-05,0,0.1,incident,,,1.1022348724800512e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,6.25e-05,0,0.1,incident,,,3.8860382717103226e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.0001875,0,0.1,incident,,,7.147618604897472e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.0001875,0,0.1,reflection,,,-2.665734355508961e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6.25e-05,0,0.1,reflection,,,-3.213108410976691e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,6.25e-05,0,0.1,reflection,,,-7.819879647787506e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.0001875,0,0.1,reflection,,,-2.388388810845051e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.0001875,0,0.1,transmission,,,-4.1171769289027075e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6.25e-05,0,0.1,transmission,,,-1.0690135451105286e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,6.25e-05,0,0.1,transmission,,,-3.6973393359029554e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.0001875,0,0.1,transmission,,,-4.4432436237330567e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00021875,0,0.1,total,,,3.697659221250753e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00015625,0,0.1,total,,,-2.4127358240749113e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-9.375e-05,0,0.1,total,,,-2.8865872845358425e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.125e-05,0,0.1,total,,,5.693479819648623e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,3.125e-05,0,0.1,total,,,3.6462109719855546e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,9.375e-05,0,0.1,total,,,2.3032148174174346e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00015625,0,0.1,total,,,2.427904985981773e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00021875,0,0.1,total,,,3.728799602784285e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00021875,0,0.1,incident,,,2.7434132698169212e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00015625,0,0.1,incident,,,2.315102048943933e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-9.375e-05,0,0.1,incident,,,1.0867362871426927e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.125e-05,0,0.1,incident,,,1.4159578801632444e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,3.125e-05,0,0.1,incident,,,6.81754856754163e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,9.375e-05,0,0.1,incident,,,2.792182577347382e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00015625,0,0.1,incident,,,2.0752428166589934e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00021875,0,0.1,incident,,,9.827109003791463e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00021875,0,0.1,reflection,,,-2.5498387660287626e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00015625,0,0.1,reflection,,,-2.15851443351102e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-9.375e-05,0,0.1,reflection,,,-1.5446803851970725e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.125e-05,0,0.1,reflection,,,-3.6064282559822964e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,3.125e-05,0,0.1,reflection,,,-8.50363298300715e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,9.375e-05,0,0.1,reflection,,,-2.2666619954940317e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00015625,0,0.1,reflection,,,-1.2173390304380154e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00021875,0,0.1,reflection,,,-2.176387428924603e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00021875,0,0.1,transmission,,,-2.450895741755816e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00015625,0,0.1,transmission,,,-2.124644869163786e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-9.375e-05,0,0.1,transmission,,,-1.0738494198778569e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.125e-05,0,0.1,transmission,,,-1.3734974814215932e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,3.125e-05,0,0.1,transmission,,,-5.5931285860473107e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,9.375e-05,0,0.1,transmission,,,-2.3322082038301745e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00015625,0,0.1,transmission,,,-6.145662733569614e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,0.00021875,0,0.1,transmission,,,-7.281613761862418e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4e-05,0,0.1,total,,,2.740967399335349e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.7812500000000004e-05,0,0.1,total,,,3.268089678277651e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.5625e-05,0,0.1,total,,,4.0136583328618753e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.34375e-05,0,0.1,total,,,4.905794999514163e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.84375e-05,0,0.1,total,,,6.662708918995337e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.5625e-05,0,0.1,total,,,7.482880602393837e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.28125e-05,0,0.1,total,,,9.467474973848737e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2e-05,0,0.1,total,,,9.470526612858552e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4e-05,0,0.1,incident,,,1.4415608781668963e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.7812500000000004e-05,0,0.1,incident,,,1.442672467348031e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.5625e-05,0,0.1,incident,,,1.4386961904527644e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.34375e-05,0,0.1,incident,,,1.4289444581047985e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.84375e-05,0,0.1,incident,,,1.395986595640866e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.5625e-05,0,0.1,incident,,,1.3730309008520102e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.28125e-05,0,0.1,incident,,,1.3481371524624555e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2e-05,0,0.1,incident,,,1.3184471790965332e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4e-05,0,0.1,reflection,,,-4.8275376856170786e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.7812500000000004e-05,0,0.1,reflection,,,-4.407049379275338e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.5625e-05,0,0.1,reflection,,,-4.0794109405535066e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.34375e-05,0,0.1,reflection,,,-3.822622576793783e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.84375e-05,0,0.1,reflection,,,-3.239204086365782e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.5625e-05,0,0.1,reflection,,,-2.687033953217076e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.28125e-05,0,0.1,reflection,,,-2.0209587940088488e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2e-05,0,0.1,reflection,,,-1.4544605666741708e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4e-05,0,0.1,transmission,,,-1.3900605271027328e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.7812500000000004e-05,0,0.1,transmission,,,-1.3947589138884507e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.5625e-05,0,0.1,transmission,,,-1.3927346071632048e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.34375e-05,0,0.1,transmission,,,-1.38578100755717e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.84375e-05,0,0.1,transmission,,,-1.3559043656204608e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.5625e-05,0,0.1,transmission,,,-1.3388542878400761e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.28125e-05,0,0.1,transmission,,,-1.320055302938443e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2e-05,0,0.1,transmission,,,-1.2945148351456477e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,total,,,2.2832214287679495e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,total,,,3.049717900507367e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,total,,,2.524414827093141e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,total,,,2.1572846215121342e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,total,,,1.2950093537914724e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,total,,,1.9072454698964747e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,incident,,,1.1311243900318803e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,incident,,,1.219876632642337e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,incident,,,1.32843703509133e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,incident,,,1.411149986349855e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,incident,,,1.2582730871117361e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,incident,,,1.1897037342673424e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,reflection,,,-3.712308521782849e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,reflection,,,-4.799412626896975e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,reflection,,,-5.589183473109254e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,reflection,,,-5.514175231822005e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,reflection,,,-9.730842496277176e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,reflection,,,-1.4947382550102525e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,transmission,,,-1.091894616565391e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,transmission,,,-1.1675904417682326e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,transmission,,,-1.2697107007497378e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,transmission,,,-1.353859896080758e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,transmission,,,-1.2360494682751825e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,transmission,,,-1.1547031990049712e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,total,,,3.4037411453569807e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,2e-05,0,0.1,total,,,4.109737084567724e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,incident,,,9.383682954591083e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,2e-05,0,0.1,incident,,,8.305185829125687e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,reflection,,,-3.0305512822761692e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,2e-05,0,0.1,reflection,,,-6.045159208805321e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,transmission,,,-8.737126214990797e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,2e-05,0,0.1,transmission,,,-7.281119822739372e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00024609375,0,0.1,total,,,5.410574224650273e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.0002421875,0,0.1,total,,,5.715912740500027e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.00023828125,0,0.1,total,,,5.6440139038019534e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-0.000234375,0,0.1,total,,,5.228655716650461e-14,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
